uid,dialogue_id,agent,gold_desire,pred,raw_response,desire_em
456-2_agent_1_desire,456-2,agent_1,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}",1
456-2_agent_2_desire,456-2,agent_2,"{'High': 'Water', 'Medium': 'Firewood', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Not Given""}",0
456-3_agent_1_desire,456-3,agent_1,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'firewood', 'medium': 'food', 'low': 'water'}","{""high"":""firewood"",""medium"":""food"",""low"":""water""}",1
456-3_agent_2_desire,456-3,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",1
456-4_agent_1_desire,456-4,agent_1,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}",1
456-4_agent_2_desire,456-4,agent_2,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}","{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}",1
457-0_agent_1_desire,457-0,agent_1,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
457-0_agent_2_desire,457-0,agent_2,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
457-1_agent_1_desire,457-1,agent_1,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
457-1_agent_2_desire,457-1,agent_2,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",1
457-2_agent_1_desire,457-2,agent_1,"{'High': 'Firewood', 'Medium': 'Not Given', 'Low': 'Not Given'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Not Given""}",0
457-2_agent_2_desire,457-2,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Not Given'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Not Given""}",0
457-3_agent_1_desire,457-3,agent_1,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
457-3_agent_2_desire,457-3,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}",1
457-4_agent_1_desire,457-4,agent_1,"{'High': 'Firewood', 'Medium': 'Water', 'Low': 'Food'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
457-4_agent_2_desire,457-4,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Firewood', 'medium': 'Food', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Food"",""low"":""Not Given""}",0
457-5_agent_1_desire,457-5,agent_1,"{'High': 'None', 'Medium': 'None', 'Low': 'None'}","{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}","{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}",0
457-5_agent_2_desire,457-5,agent_2,"{'High': 'Firewood', 'Medium': 'Food', 'Low': 'Water'}","{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}","{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}",0
