dialogue_id,agent,opponent,gold_high,gold_med,gold_low,pred,belief_em,raw_response
78-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
78-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"": ""Food"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
18-3,agent_1,agent_2,Firewood,Water,Food,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",1,"{""high"": ""firewood"", ""medium"": ""water"", ""low"": ""food""}"
18-3,agent_2,agent_1,Not Given,Not Given,Firewood,"{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}",0,"{""high"": ""Firewood"", ""medium"": ""Water"", ""low"": ""Food""}"
188-1,agent_1,agent_2,Not Given,Not Given,Firewood,"{'high': 'water', 'medium': 'food', 'low': 'firewood'}",0,"{""high"": ""water"", ""medium"": ""food"", ""low"": ""firewood""}"
188-1,agent_2,agent_1,Food,Firewood,Water,"{'high': 'food', 'medium': 'water', 'low': 'firewood'}",0,"{""high"": ""food"", ""medium"": ""water"", ""low"": ""firewood""}"
168-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
168-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
153-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
153-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"": ""Not Given"", ""medium"": ""Not Given"", ""low"": ""Not Given""}"
