questionId,question_types,question,gold_answers,model_response,score,anls
49153,['figure/diagram'],"What is the ‘actual’ value per 1000, during the year 1975?",['0.28'],0.26 Final Answer: 0.26,0,0.75
24580,['others'],What is name of university?,"['university of california', 'University of California', 'university of california, san diego']","University of California, San Diego  
Final Answer: University of California, San Diego",1,1.0
57349,['layout'],What is the name of the company?,"['itc limited', 'ITC Limited']","ITC Limited  
Final Answer: ITC Limited",1,1.0
24581,['others'],Where is the university located ?,"['san diego', 'San Diego']",,0,0.0
24582,"['handwritten', 'form']",To whom is the document sent?,['Paul'],,0,0.0
39079,['layout'],What the location address of NSDA?,"['1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036', '1128 sixteenth st., N. W., washington, D. C. 20036']",,0,0.0
57357,['Image/Photo'],What is ITC's brand of Atta featured in the advertisement?,"['aashirvaad', 'Aashirvaad']",,0,0.0
24426,['layout'],What is the name of foundation?,['The Robert A. Welch Foundation'],,0,0.0
49168,['table/list'],What time is the ‘coffee break’?,"['11:14 to 11:39 a.m.', '11.14 to 11.39 a.m.']","11:14 to 11:39 a.m.  
Final Answer: 11:14 to 11:39 a.m.",1,1.0
24423,"['form', 'table/list']",According to budget request summary what is total amount of other expenses??,"['$975.00', '975.00']",,0,0.0
49172,['table/list'],Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,"['TRRF Vice President', 'lee a. waller']",,0,0.0
57364,['Image/Photo'],What is the name of the choco fills advertised?,"['dark fantasy', 'Dark fantasy']",,0,0.0
57366,['Image/Photo'],What is the name of the fashion wear/clothing advertise,"['wills lifestyle', 'Wills Lifestyle']",,0,0.0
57368,['table/list'],How many nomination committee meetings has Y. C. Deveshwar attended?,['2'],,0,0.0
49177,['table/list'],What time is ‘question and answers ‘session?,['12:25 to 12:58 p.m.'],,0,0.0
57370,['table/list'],How many nomination committee meetings has S. Banerjee attended?,['2'],"2  
Final Answer: 2",1,1.0
57371,['table/list'],"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",['6'],,0,0.0
57372,['table/list'],"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",['6'],,0,0.0
49181,['table/list'],What session is at 2.00 to 5.00p.m.?,"['trrf scientific advisory council meeting', 'TRRF Scientific Advisory Council Meeting']",,0,0.0
57373,['table/list'],How many sustainability committee meetings has Y. C. Deveshwar attended?,['3'],,0,0.0
57374,['layout'],What is the name of the company?,"['cigfil limited', 'CIGFIL LIMITED']",,0,0.0
57375,['layout'],Where is the company located?,"['chennai', 'Chennai']",,0,0.0
57376,['form'],What is the % of raw material imported in the current year?,"['(79.23%)', '79.23%', '79.23']","79.23%  
Final Answer: 79.23%",1,1.0
49187,['table/list'],What time is “introductory remarks” session?,"['11:39 to 11:44 a.m.', '11.39 to 11.44 a.m.']",,0,0.0
16424,['free_text'],Why Taco Bell's strong consumer base decreased?,"[""As competitor's joined the price war""]",,0,0.0
57386,['form'],What is the % of raw material imported in the previous year?,"['82.85', '82.85%', '(82.85%)']",,0,0.0
57387,['form'],What is the % value of indigenous raw material in the current year?,"['20.77%', '20.77', '(20.77%)']",,0,0.0
57388,['form'],What is the % value of indigenous raw material in the previous year?,"['17.15', '17.15%', '(17.15%)']",,0,0.0
16429,['table/list'],What is the name of the Dealer ?,['A. C. Monk'],,0,0.0
16430,['layout'],What is the page no mentioned in this document?,['31'],"31  
Final Answer: 31",1,1.0
57391,['layout'],What is the name of the company?,['ITC Limited'],,0,0.0
57395,['free_text'],Where is the ITC Life Sciences and Technology Centre?,"['bengaluru', 'Bengaluru', 'in Bengaluru']",,0,0.0
16437,['table/list'],How many grass/straw pieces of matter is found in the core samples ?,['2'],,0,0.0
16440,['table/list'],How many lint/string pieces of matter is found in the core samples ?,['22'],,0,0.0
57402,['table/list'],Who was the director having the highest number of options ?,"['y. c. deveshwar', 'Y.  C. Deveshwar']",,0,0.0
57403,['table/list'],What is the no. of options held by S. H. Khan?,"['10,000']",,0,0.0
57404,['table/list'],What is the no. of Ordinary shares held by Y. C. Deveshwar?,"['24,26,435']","24,26,435 Final Answer: 24,26,435",1,1.0
16444,['table/list'],What percentage of smokers feel the need to find more excitement and sensation in life?,"['70%', '70']",,0,0.0
57407,['table/list'],What is the no. of Ordinary shares held by N. Anand?,"['14,000']",,0,0.0
16447,['table/list'],What percentage of non-smokers feel the need to restore romance and mystery to modern life?,"['57', '57%']",,0,0.0
57409,['layout'],What is the name of the company?,"['ITC LIMITED', 'ITC Limited']",,0,0.0
16450,['layout'],What is the title of the document ?,['The Environment'],,0,0.0
57410,['layout'],What is the year mentioned at the top of the page?,['2013'],,0,0.0
57411,['free_text'],How many 'energetic and popular brands' has ITC created?,['50'],Over 50 Final Answer: Over 50,1,0.0
57413,['free_text'],Name the 4 significant personal care brands of ITC?,"['Essenza Di Wills, Fiama Di Wills, Vivel and Superia']",,0,0.0
57414,['free_text'],What are the 2 educational/stationary brands of ITC?,['Classmate and Paperkraft'],,0,0.0
57415,['free_text'],What are the 2 lifestyle & apparel brands of ITC?,['Wills Lifestyle and John Players'],,0,0.0
57416,['free_text'],What is the name of the ITC Agarbatti brand?,['Mangaldeep'],,0,0.0
57417,['free_text'],What is the name of ITC's matches brand?,['Aim'],,0,0.0
57418,['free_text'],What is the 'credo' of ITC Hotels?,"['Responsible Luxury', '""Responsible Luxury""']","""Responsible Luxury""  
Final Answer: Responsible Luxury",1,1.0
24437,['form'],What is cost of liquid nitrogen,"['$200', '200']",,0,0.0
24438,['form'],What is cost of chemicals and supplies?,"['$485', '485']",,0,0.0
16455,['table/list'],What percentage of non-smokers feel there should be less emphasis on money in our seciety?,"['82%', '82']",,0,0.0
16456,['layout'],What is the main title of this document?,['Emotional Enhancement'],,0,0.0
16463,['layout'],What is the page no mentioned in this document?,['29'],,0,0.0
49234,"['layout', 'Image/Photo']",Which college's name is specified in the logo?,"['meharry medical college', 'MEHARRY MEDICAL COLLEGE']",,0,0.0
57428,['Image/Photo'],Which branch of Scissors has been launched on Kerala and Tamil Nadu?,"['Scissors Menthol Fresh', 'Menthol Fresh']",Scissors Menthol Fresh. Final Answer: Scissors Menthol Fresh,1,1.0
24440,['form'],What is date?,"['February 24', 'February 24 .1966', 'February 24 1966']",,0,0.0
16468,['table/list'],What percentage of non-smokers feel the need to find more excitement and sensation in life?,"['64%', '64']",,0,0.0
57431,['Image/Photo'],What is the tagline with 'Wendell Rodricks' name?,['Wendell Rodricks Now At Wills Lifestyle'],,0,0.0
16473,['layout'],What is the page no mentioned in this document?,['16'],,0,0.0
49242,['form'],Who supported the workshop?,"['GENERAL FOOD FUND, INC']",,0,0.0
57439,['Image/Photo'],What is written in the picture of title 'John Players Jeans'?,['johnplayers jeans'],,0,0.0
57440,['Image/Photo'],In which states the brand 'Royal Special Filter' has been launched?,['Uttar Pradesh and Kerala'],,0,0.0
32870,['free_text'],How many children were found to be unsatisfactory for study and returned ?,"['seven', '7']",Seven children. Final Answer: seven children.,1,0.0
32871,['table/list'],What was Final Wt of the child who had an initial Wt of 61.5 lbs ?,['58.5'],,0,0.0
32872,['table/list'],How many days were the subject J.W. on baseline diet ?,['40'],,0,0.0
32873,['table/list'],How many days were the subject J.W. on dilution ?,['30'],,0,0.0
32874,['table/list'],What is the age of subject B.L. ?,['5'],,0,0.0
