uid,dialogue_id,utt_idx,target_utterance,gold_intent,gold_bitmask,pred_intents,pred_bitmask,raw_response
456-4_utt2_intention,456-4,2,agent_2: I will take one firewood and one food. I will give you one water. ,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","['Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[0, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
457-0_utt1_intention,457-0,1,"agent_2: Hi, I would like to get firewood because I would like to sit by the campfire in the evening.",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
457-0_utt2_intention,457-0,2,agent_1: Hi there. I was really hoping to have the firewood because I am afraid my children would be cold.,Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Show-Empathy', 'Callout-Fairness']","[0, 1, 1, 0, 0, 0, 0, 1, 0]","{""intents"":[""Describe-Need"",""Show-Empathy"",""Callout-Fairness""]}"
457-1_utt1_intention,457-1,1,"agent_2: Ok, so we have 3 packages, what about if you get 2 and I get 1?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Promote-Coordination']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Callout-Fairness"",""Promote-Coordination""]}"
457-1_utt2_intention,457-1,2,"agent_1: Thank you, 2 packages of firewood would work.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Describe-Need']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Describe-Need""]}"
457-2_utt1_intention,457-2,1,"agent_2: So could I get 2 food, if you get 1 food?",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Discover-Preference']","[0, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Discover-Preference""]}"
457-2_utt2_intention,457-2,2,agent_1: How many persons are you feeding? I am feeding 2 adults and 2 children.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Discover-Preference', 'Describe-Need']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference"",""Describe-Need""]}"
457-3_utt1_intention,457-3,1,"agent_2: 2 adults and 3 children, so if I get 2 food and 1 water, you could get 1 food and 2 water? ",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Describe-Need', 'Promote-Coordination']","[0, 0, 1, 0, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Promote-Coordination""]}"
457-3_utt2_intention,457-3,2,agent_1: I believe we can work with 1 food and 2 waters.🙂,Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
457-4_utt1_intention,457-4,1,"agent_2: So 1 package of firewood, 2 food and 1 water for me and 2 packages of  firewood, 1 food and 2 waters for you? Sound good? ",Callout-Fairness,"[0, 1, 0, 0, 0, 0, 0, 0, 0]","['Promote-Coordination', 'Callout-Fairness']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Callout-Fairness""]}"
457-4_utt2_intention,457-4,2,"agent_1: Yes I get 2 packages of firewood, 1 food and 2 waters. Sounds like a good deal.🙂",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Promote-Coordination', 'Callout-Fairness']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Callout-Fairness""]}"
