uid,dialogue_id,utt_idx,target_utterance,gold_intent,gold_bitmask,pred_intents,pred_bitmask,raw_response
535-0_utt1_intention,535-0,1,agent_2: Hello there! Are you excited for your camping trip coming up?! I am excited to see how I can put my skills to the test!,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
535-0_utt2_intention,535-0,2,agent_1: Yeah. Nice to get out after being inside for most of the spring. This covid-19 crap! wish it would go away.,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
535-1_utt1_intention,535-1,1,agent_2: I agree!  I will say it has really sparked my interest in camping and being outdoors even more though! I saw just how connected I was to technology and everything else!,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Build-Rapport', 'Show-Empathy']","[1, 0, 0, 0, 0, 0, 0, 1, 0]","{""intents"":[""Build-Rapport"",""Show-Empathy""]}"
535-1_utt2_intention,535-1,2,agent_1: I'm up here to do some cross training and noticed that there is some extra water around. Even though the nights are cold I could use some extra water. Do you exercise much?,"Build-Rapport,Describe-Need","[1, 0, 1, 0, 0, 0, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
535-2_utt1_intention,535-2,1,agent_2: It has been extremely dry in the area I will be going to so I was hoping to get a little extra water too.  I do. I love hiking and running trails!  Due to the extreme dry weather I should have plenty of wood I can scavenge for if you need all of it!,"Describe-Need,No-Need","[0, 0, 1, 0, 0, 1, 0, 0, 0]","['Describe-Need', 'Discover-Preference']","[0, 0, 1, 1, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference""]}"
535-2_utt2_intention,535-2,2,"agent_1: Hmm. Maybe we could go out together on a run. 🙂Always nice to have a running partner. So maybe on the water you get 2, me 1. Then on the Firewood the opposite?",Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Promote-Coordination', 'Callout-Fairness']","[0, 1, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination"",""Callout-Fairness""]}"
535-3_utt1_intention,535-3,1,agent_2: That would be fun! I feel like I always do better when I have someone to run against.  Competition does me good. That sounds fantastic on the fire wood and water split.  What is your food situation looking like??,"Build-Rapport,Promote-Coordination","[1, 0, 0, 0, 0, 0, 1, 0, 0]","['Build-Rapport', 'Promote-Coordination', 'Discover-Preference']","[1, 0, 0, 1, 0, 0, 1, 0, 0]","{""intents"":[""Build-Rapport"",""Promote-Coordination"",""Discover-Preference""]}"
535-3_utt2_intention,535-3,2,agent_1: How about this? 2 for you and 1 for me. Going low carb and mostly brought my own. What do you think? ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]","['Callout-Fairness', 'Discover-Preference']","[0, 1, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness"",""Discover-Preference""]}"
535-4_utt1_intention,535-4,1,agent_2: That sounds great! I don't think my chances for catching any fish are pretty slim!,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Build-Rapport'],"[1, 0, 0, 0, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport""]}"
535-4_utt2_intention,535-4,2,agent_1: You fish? Perhaps I could learn. Never got into it. ,Build-Rapport,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
536-0_utt1_intention,536-0,1,"agent_2: Hi there! Curious as to what's on your mind regarding each item. I have my own preferences, but will share after you.","Discover-Preference,Promote-Coordination","[0, 0, 0, 1, 0, 0, 1, 0, 0]","['Build-Rapport', 'Discover-Preference']","[1, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Build-Rapport"",""Discover-Preference""]}"
536-0_utt2_intention,536-0,2,"agent_1: Hello, well I really need food. Have a lot of extra people.",Describe-Need,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
536-1_utt1_intention,536-1,1,"agent_2: Awesome - same, I also need a ton of food. Will firewood be of interest to you as well? I'll be happy to compensate in this way","Discover-Preference,Promote-Coordination","[0, 0, 0, 1, 0, 0, 1, 0, 0]","['Describe-Need', 'Discover-Preference', 'Promote-Coordination']","[0, 0, 1, 1, 0, 0, 1, 0, 0]","{""intents"":[""Describe-Need"",""Discover-Preference"",""Promote-Coordination""]}"
536-1_utt2_intention,536-1,2,"agent_1: Firewood is not overly interesting to me, but water is somewhat enticing.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
536-2_utt1_intention,536-2,1,"agent_2: Ok, great - I can give you all of my waters in exchange for a majority of the food and half of firewood",Promote-Coordination,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",['Promote-Coordination'],"[0, 0, 0, 0, 0, 0, 1, 0, 0]","{""intents"":[""Promote-Coordination""]}"
536-2_utt2_intention,536-2,2,agent_1: Half of firewood? There are 3 so one of us has to get more. I would need more of that. ,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need']","[0, 1, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need""]}"
536-3_utt1_intention,536-3,1,"agent_2: Yep, I know there's three and no way to split evenly lol - can you give me a justifiable reason as to why you deserve more over me? Please convince me.","Callout-Fairness,Discover-Preference,Promote-Coordination","[0, 1, 0, 1, 0, 0, 1, 0, 0]","['Callout-Fairness', 'Undermine-Requirements']","[0, 1, 0, 0, 0, 0, 0, 0, 1]","{""intents"":[""Callout-Fairness"",""Undermine-Requirements""]}"
536-3_utt2_intention,536-3,2,"agent_1: Well, food is the most important and you're getting that so I'm gonna need more of the others.",No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]","['Callout-Fairness', 'Describe-Need']","[0, 1, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Callout-Fairness"",""Describe-Need""]}"
536-4_utt1_intention,536-4,1,agent_2: What are your thoughts on the amount of water you need?,Discover-Preference,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
536-4_utt2_intention,536-4,2,agent_1: I would need 2 out of 3 as well.,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Describe-Need'],"[0, 0, 1, 0, 0, 0, 0, 0, 0]","{""intents"":[""Describe-Need""]}"
536-5_utt1_intention,536-5,1,agent_2: Interesting - you're essentially saying that you need the majority of two of the three items. Hmm...,No-Intention,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",['Discover-Preference'],"[0, 0, 0, 1, 0, 0, 0, 0, 0]","{""intents"":[""Discover-Preference""]}"
