uid,dialogue_id,agent,opponent,gold_high,gold_med,gold_low,pred,belief_em,raw_response
566-5_agent_1_belief,566-5,agent_1,agent_2,None,None,None,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",0,"```json
{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}
```"
566-5_agent_2_belief,566-5,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"```json
{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}
```"
482-1_agent_1_belief,482-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}"
482-1_agent_2_belief,482-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
525-7_agent_1_belief,525-7,agent_1,agent_2,None,None,None,"{'high': 'Water', 'medium': 'Food', 'low': 'Firewood'}",0,"{""high"":""Water"",""medium"":""Food"",""low"":""Firewood""}"
525-7_agent_2_belief,525-7,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}"
605-2_agent_1_belief,605-2,agent_1,agent_2,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",1,"{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}"
605-2_agent_2_belief,605-2,agent_2,agent_1,Not Given,Not Given,Firewood,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Firewood'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Firewood""}"
73-0_agent_1_belief,73-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
73-0_agent_2_belief,73-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
523-2_agent_1_belief,523-2,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
523-2_agent_2_belief,523-2,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}"
589-5_agent_1_belief,589-5,agent_1,agent_2,None,None,None,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",0,"{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}"
589-5_agent_2_belief,589-5,agent_2,agent_1,Firewood,Food,Water,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",1,"{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}"
29-4_agent_1_belief,29-4,agent_1,agent_2,Food,Not Given,Not Given,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}"
29-4_agent_2_belief,29-4,agent_2,agent_1,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",0,"{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}"
152-3_agent_1_belief,152-3,agent_1,agent_2,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}"
152-3_agent_2_belief,152-3,agent_2,agent_1,Firewood,Water,Food,"{'high': 'Firewood', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Firewood"",""medium"":""Not Given"",""low"":""Not Given""}"
173-8_agent_1_belief,173-8,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"```json
{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}
```"
173-8_agent_2_belief,173-8,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
467-4_agent_1_belief,467-4,agent_1,agent_2,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",1,"{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}"
467-4_agent_2_belief,467-4,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Food"",""medium"":""Not Given"",""low"":""Not Given""}"
108-0_agent_1_belief,108-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
108-0_agent_2_belief,108-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
546-1_agent_1_belief,546-1,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
546-1_agent_2_belief,546-1,agent_2,agent_1,Not Given,Not Given,Food,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
43-0_agent_1_belief,43-0,agent_1,agent_2,Firewood,Water,Food,"{'high': 'Firewood', 'medium': 'Water', 'low': 'Food'}",1,"{""high"":""Firewood"",""medium"":""Water"",""low"":""Food""}"
43-0_agent_2_belief,43-0,agent_2,agent_1,Food,Firewood,Water,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Not Given'}",0,"{""high"":""Food"",""medium"":""Firewood"",""low"":""Not Given""}"
453-3_agent_1_belief,453-3,agent_1,agent_2,Water,Firewood,Food,"{'high': 'Water', 'medium': 'Firewood', 'low': 'Food'}",1,"{""high"":""Water"",""medium"":""Firewood"",""low"":""Food""}"
453-3_agent_2_belief,453-3,agent_2,agent_1,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}",0,"{""high"":""Water"",""medium"":""Not Given"",""low"":""Not Given""}"
591-3_agent_1_belief,591-3,agent_1,agent_2,Firewood,Water,Food,"{'high': 'firewood', 'medium': 'water', 'low': 'food'}",1,"{""high"":""firewood"",""medium"":""water"",""low"":""food""}"
591-3_agent_2_belief,591-3,agent_2,agent_1,Food,Water,Firewood,"{'high': 'Food', 'medium': 'Water', 'low': 'Firewood'}",1,"```json
{""high"":""Food"",""medium"":""Water"",""low"":""Firewood""}
```"
109-1_agent_1_belief,109-1,agent_1,agent_2,Firewood,Food,Water,"{'high': 'firewood', 'medium': 'food', 'low': 'water'}",1,"{""high"":""firewood"",""medium"":""food"",""low"":""water""}"
109-1_agent_2_belief,109-1,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",0,"{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}"
76-6_agent_1_belief,76-6,agent_1,agent_2,Water,Food,Firewood,"{'high': 'Water', 'medium': 'Not Given', 'low': 'Not Given'}",0,"```json
{""high"":""Water"",""medium"":""Not Given"",""low"":""Not Given""}
```"
76-6_agent_2_belief,76-6,agent_2,agent_1,Water,Firewood,Food,"{'high': 'water', 'medium': 'firewood', 'low': 'food'}",1,"{""high"":""water"",""medium"":""firewood"",""low"":""food""}"
54-0_agent_1_belief,54-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
54-0_agent_2_belief,54-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
444-0_agent_1_belief,444-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
444-0_agent_2_belief,444-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
10-0_agent_1_belief,10-0,agent_1,agent_2,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
10-0_agent_2_belief,10-0,agent_2,agent_1,Not Given,Not Given,Not Given,"{'high': 'Not Given', 'medium': 'Not Given', 'low': 'Not Given'}",1,"{""high"":""Not Given"",""medium"":""Not Given"",""low"":""Not Given""}"
538-2_agent_1_belief,538-2,agent_1,agent_2,Not Given,Not Given,Food,"{'high': 'Food', 'medium': 'Firewood', 'low': 'Water'}",0,"{""high"":""Food"",""medium"":""Firewood"",""low"":""Water""}"
538-2_agent_2_belief,538-2,agent_2,agent_1,Firewood,Food,Water,"{'high': 'Firewood', 'medium': 'Food', 'low': 'Water'}",1,"{""high"":""Firewood"",""medium"":""Food"",""low"":""Water""}"
